data,db_index,unique,trial_num,ascending_time,descending_time,condition_time
asc,1,True,23,0.4379887580871582,0.18613529205322266,0.3383817672729492
desc,1,True,23,0.19354701042175293,0.3985254764556885,0.09947514533996582
desc,1,False,23,0.389254093170166,0.4018516540527344,0.09292793273925781
asc,-1,True,23,0.39429640769958496,0.40006470680236816,0.10175943374633789
asc,1,False,23,0.3929758071899414,0.39875006675720215,0.09754753112792969
desc,-1,False,23,0.3970949649810791,0.4121100902557373,0.09539341926574707
desc,-1,True,23,0.4007384777069092,0.41133737564086914,0.09871840476989746
asc,-1,False,23,0.41274428367614746,0.42307424545288086,0.09850621223449707
no_index,no_index,no_index,49,0.4057891368865967,0.17455840110778809,0.3199348449707031
asc,1,True,24,0.4352681636810303,0.18941473960876465,0.3377501964569092
desc,1,True,24,0.1892237663269043,0.4103684425354004,0.10481405258178711
desc,1,False,24,0.3974144458770752,0.4046618938446045,0.09385347366333008
asc,-1,True,24,0.3958437442779541,0.41062021255493164,0.09958839416503906
asc,1,False,24,0.38713622093200684,0.3995628356933594,0.09863662719726562
desc,-1,False,24,0.4032313823699951,0.40329647064208984,0.09975242614746094
desc,-1,True,24,0.4158289432525635,0.4139893054962158,0.09543490409851074
asc,-1,False,24,0.4123210906982422,0.42589282989501953,0.09618711471557617
no_index,no_index,no_index,49,0.40766334533691406,0.17313075065612793,0.3162829875946045
asc,1,True,25,0.4411001205444336,0.18344974517822266,0.341463565826416
desc,1,True,25,0.19291424751281738,0.411693811416626,0.1023857593536377
desc,1,False,25,0.3915979862213135,0.41147804260253906,0.0968935489654541
asc,-1,True,25,0.3957533836364746,0.4090261459350586,0.09855437278747559
asc,1,False,25,0.39664793014526367,0.3993186950683594,0.09756112098693848
desc,-1,False,25,0.3949909210205078,0.4137113094329834,0.09674763679504395
desc,-1,True,25,0.4067871570587158,0.4178140163421631,0.09505391120910645
asc,-1,False,25,0.4177589416503906,0.41924262046813965,0.09453392028808594
no_index,no_index,no_index,49,0.4160189628601074,0.17327094078063965,0.32248663902282715
asc,1,True,26,0.43819332122802734,0.18587255477905273,0.33962082862854004
desc,1,True,26,0.18871784210205078,0.405383825302124,0.10014748573303223
desc,1,False,26,0.39414525032043457,0.40610647201538086,0.09626150131225586
asc,-1,True,26,0.4014017581939697,0.4025402069091797,0.09754753112792969
asc,1,False,26,0.3954787254333496,0.41061973571777344,0.09938812255859375
desc,-1,False,26,0.4043245315551758,0.40621376037597656,0.09934043884277344
desc,-1,True,26,0.40474939346313477,0.4131944179534912,0.09684967994689941
asc,-1,False,26,0.4130523204803467,0.4257378578186035,0.09846758842468262
no_index,no_index,no_index,49,0.40894079208374023,0.17327165603637695,0.3268249034881592
asc,1,True,27,0.44049859046936035,0.19052648544311523,0.34195637702941895
desc,1,True,27,0.1904006004333496,0.4139437675476074,0.10009098052978516
desc,1,False,27,0.39000844955444336,0.40966343879699707,0.09604382514953613
asc,-1,True,27,0.40216541290283203,0.39783692359924316,0.0976417064666748
asc,1,False,27,0.38964033126831055,0.40961360931396484,0.09662842750549316
desc,-1,False,27,0.399242639541626,0.41498231887817383,0.09653282165527344
desc,-1,True,27,0.41051650047302246,0.41430020332336426,0.09931111335754395
asc,-1,False,27,0.4168224334716797,0.4220147132873535,0.10006427764892578
no_index,no_index,no_index,49,0.41166162490844727,0.17536449432373047,0.3220202922821045
asc,1,True,28,0.43846774101257324,0.18679094314575195,0.345797061920166
desc,1,True,28,0.19446706771850586,0.4127223491668701,0.10029888153076172
desc,1,False,28,0.39659786224365234,0.4060397148132324,0.0964198112487793
asc,-1,True,28,0.3974592685699463,0.4089624881744385,0.0995643138885498
asc,1,False,28,0.3946189880371094,0.41530680656433105,0.09539175033569336
desc,-1,False,28,0.4005742073059082,0.41100192070007324,0.09743309020996094
desc,-1,True,28,0.4015800952911377,0.42200660705566406,0.10236883163452148
asc,-1,False,28,0.40871191024780273,0.4293334484100342,0.09605002403259277
no_index,no_index,no_index,49,0.41369056701660156,0.17230463027954102,0.31984829902648926
asc,1,True,29,0.4401869773864746,0.18860769271850586,0.34194350242614746
desc,1,True,29,0.19397521018981934,0.41059184074401855,0.10508537292480469
desc,1,False,29,0.39022064208984375,0.40537166595458984,0.09582090377807617
asc,-1,True,29,0.40615081787109375,0.4033205509185791,0.0987546443939209
asc,1,False,29,0.40123987197875977,0.4096977710723877,0.09757852554321289
desc,-1,False,29,0.4022815227508545,0.4064946174621582,0.10074424743652344
